page_family,path,session,initial_http_status,alpine_observed,uncaught_js_errors,interpretation,related_actions
app,/dashboard,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/dashboard/trends/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/products/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/products/?view=components,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/products/?view=releases,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/products/new/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/components/new/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/security-advisories/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/security-advisories/new/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/workspaces/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/settings,local owner,redirect/proxy,unknown,0,Proxy redirect failed; redirect chain investigated separately. Not an app-defect verdict.,
app,/plugins/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/compliance/cra/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/vulnerability-trends/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/support/contact/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/support/contact/success/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/billing/enterprise-contact/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/billing/checkout/cancel/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/billing/checkout/success/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
app,/onboarding/select-plan/,local owner,redirect/proxy,unknown,0,Proxy redirect failed; redirect chain investigated separately. Not an app-defect verdict.,
app,/workspaces/onboarding/,local owner,redirect/proxy,unknown,0,Proxy redirect failed; redirect chain investigated separately. Not an app-defect verdict.,
settings,/workspaces/SPJyC6UIb/settings/general,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
settings,/workspaces/SPJyC6UIb/settings/members,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
settings,/workspaces/SPJyC6UIb/settings/tokens,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
settings,/workspaces/SPJyC6UIb/settings/contact-profiles,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
settings,/workspaces/SPJyC6UIb/settings/trust-center,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
settings,/workspaces/SPJyC6UIb/settings/branding,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
settings,/workspaces/SPJyC6UIb/settings/billing,local owner,redirect/proxy,unknown,0,Proxy redirect failed; redirect chain investigated separately. Not an app-defect verdict.,
settings,/workspaces/SPJyC6UIb/settings/account,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
workspace,/workspaces/SPJyC6UIb,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
workspace,/workspaces/SPJyC6UIb/crypto/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
workspace,/workspaces/SPJyC6UIb/vulnerability-scans/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
workspace,/workspaces/SPJyC6UIb/contact-profiles/form,local owner,200,False,0,Partial loaded directly for inspection; normally requires owning settings page.,UI-02
workspace,/workspaces/invite/SPJyC6UIb/,local owner,200,True,0,Page load and rendered-control inventory; not every mutation submitted.,
workspace,/billing/select-plan/SPJyC6UIb/,local owner,200,False,0,Page load and rendered-control inventory; not every mutation submitted. Alpine not observed within sweep timeout; do not count this attempt as an interaction check.,
