route_name,route_pattern,view,surface_kind,audit_boundary
,favicon.ico,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
,accounts/login/,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
public_enterprise_contact,enterprise-contact/,sbomify.apps.billing.views.PublicEnterpriseContactView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
security_txt_wellknown,.well-known/security.txt,sbomify.apps.teams.views.security_txt.SecurityTxtView,developer or machine surface,Outside migrated customer-page interaction scope.
domain_check,.well-known/com.sbomify.domain-check,sbomify.apps.teams.urls.domain_check,developer or machine surface,Outside migrated customer-page interaction scope.
tea_wellknown,.well-known/tea,sbomify.apps.tea.wellknown.TEAWellKnownView,developer or machine surface,Outside migrated customer-page interaction scope.
core:home,,sbomify.apps.core.views.home,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:dashboard,dashboard,sbomify.apps.core.views.dashboard.DashboardView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:dashboard_trends,dashboard/trends/,sbomify.apps.core.views.dashboard.DashboardView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:settings,settings,sbomify.apps.core.views.user_settings,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:accept_user_invitation,settings/invitations/<int:invitation_id>/accept/,sbomify.apps.core.views.accept_user_invitation,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
core:reject_user_invitation,settings/invitations/<int:invitation_id>/reject/,sbomify.apps.core.views.reject_user_invitation,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
core:delete_access_token,access_tokens/<token_id>/delete,sbomify.apps.core.views.delete_access_token,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
